Subt_4:204		
176,795	7,44	
177,017	7,44	
177,239	7,44	
177,461	10,31	
177,683	7,85	
177,905	20,14	
178,127	-36,8	
178,349	20,55	
178,571	-16,73	
178,793	-9,35	
179,015	25,05	
179,237	42,26	
179,459	-24,92	
179,681	9,49	
179,903	-6,89	
180,124	-2,8	
180,346	-20	
180,568	13,58	
180,79	427,68	
181,012	659,51	
181,234	652,96	
181,455	716,04	
181,677	682,86	
181,899	701,7	
182,121	659,51	
182,342	668,93	
182,564	702,11	
182,786	682,04	
183,007	682,86	
183,229	691,87	
183,451	717,68	
183,673	723,41	
183,894	672,21	
184,116	695,97	
184,337	710,3	
184,559	731,6	
184,781	683,27	
185,002	677,54	
185,224	659,51	
185,445	646	
185,667	605,45	
185,889	650,91	
186,11	666,89	
186,332	694,33	
186,553	722,18	
186,775	752,9	
186,996	729,15	
187,218	730,37	
187,439	804,1	
187,661	807,79	
187,882	745,12	
188,103	796,32	
188,325	763,55	
188,546	829,91	
188,768	792,63	
188,989	795,5	
189,211	835,23	
189,432	811,88	
189,653	840,96	
189,875	802,87	
190,096	831,13	
190,317	768,06	
190,539	798,78	
190,76	761,09	
190,981	770,92	
191,202	720,13	
191,424	765,6	
191,645	676,72	
191,866	672,21	
192,087	698,02	
192,309	748,4	
192,53	754,54	
192,751	731,6	
192,972	766,01	
193,193	828,68	
193,415	858,17	
193,636	816,8	
193,857	817,62	
194,078	822,94	
194,299	812,7	
194,52	735,7	
194,741	781,57	
194,962	750,85	
195,183	757,41	
195,404	763,96	
195,625	758,64	
195,846	739,79	
196,067	807,38	
196,288	785,26	
196,509	823,76	
196,73	805,33	
196,951	759,05	
197,172	769,29	
197,393	710,3	
197,614	741,43	
197,835	760,68	
198,056	778,3	
198,277	768,47	
198,498	790,58	
198,719	785,26	
198,94	765,19	
199,161	800,41	
199,381	825,4	
199,602	821,3	
199,823	806,56	
200,044	828,68	
200,265	814,75	
200,485	806,56	
200,706	832,36	
200,927	821,3	
201,148	859,4	
201,368	910,19	
201,589	905,27	
201,81	951,96	
202,031	956,06	
202,251	957,7	
202,472	936,81	
202,693	1023,64	
202,913	936,4	
203,134	968,76	
203,355	1021,19	
203,575	1001,93	
203,796	956,06	
204,016	868,82	
204,237	872,5	
204,457	848,34	
204,678	791,4	
204,899	877,83	
205,119	856,53	
205,34	843,42	
205,56	862,26	
205,781	813,52	
206,001	872,91	
206,222	839,33	
206,442	843,42	
206,663	848,75	
206,883	872,91	
207,103	886,02	
207,324	868,41	
207,544	889,71	
207,765	856,94	
207,985	877,01	
208,205	802,87	
208,426	826,63	
208,646	831,13	
208,866	773,79	
209,087	810,24	
209,307	827,45	
209,527	874,96	
209,748	867,18	
209,968	915,51	
210,188	921,65	
210,408	865,13	
210,629	884,79	
210,849	935,58	
211,069	940,5	
211,289	883,15	
211,51	881,51	
211,73	998,66	
211,95	868,82	
212,17	911,82	
212,39	886,02	
212,61	934,76	
212,83	977,77	
213,051	941,31	
213,271	969,99	
213,491	869,64	
213,711	906,09	
213,931	865,13	
214,151	838,51	
214,371	870,05	
214,591	930,67	
214,811	877,01	
215,031	882,33	
215,251	875,37	
215,471	911,41	
215,691	937,63	
215,911	947,05	
216,131	956,88	
216,351	974,49	
216,571	974,08	
216,791	929,44	
217,011	940,91	
217,23	998,25	
217,45	1064,6	
217,67	1089,18	
217,89	1122,76	
218,11	1155,12	
218,33	1096,96	
218,549	1050,27	
218,769	1028,15	
218,989	1024,05	
219,209	947,05	
219,429	943,77	
219,648	954,01	
219,868	950,33	
220,088	925,75	
220,308	876,19	
220,527	852,02	
220,747	855,71	
220,967	880,69	
221,186	924,52	
221,406	876,6	
221,626	908,96	
221,845	930,67	
222,065	917,15	
222,285	1012,17	
222,504	960,98	
222,724	986,78	
222,943	974,9	
223,163	924,11	
223,382	979,41	
223,602	956,88	
223,821	985,14	
224,041	986,78	
224,26	1007,26	
224,48	953,6	
224,699	961,79	
224,919	957,7	
225,138	1019,96	
225,358	913,87	
225,577	919,2	
225,797	903,63	
226,016	849,57	
226,235	889,71	
226,455	874,55	
226,674	897,49	
226,894	909,78	
227,113	867,18	
227,332	922,06	
227,552	987,6	
227,771	929,03	
227,99	936,81	
228,21	955,24	
228,429	981,45	
228,648	994,15	
228,867	981,86	
229,087	911,41	
229,306	967,12	
229,525	927,39	
229,744	972,44	
229,963	1001,12	
230,183	1075,66	
230,402	1055,18	
230,621	979	
230,84	991,29	
231,059	997,43	
231,278	1012,58	
231,497	995,79	
231,716	981,05	
231,936	996,2	
232,155	972,85	
232,374	977,36	
232,593	1032,65	
232,812	1049,45	
233,031	1074,43	
233,25	1103,92	
233,469	1215,33	
233,688	1277,59	
233,907	1322,65	
234,126	1340,67	
234,345	1343,95	
234,564	1239,91	
234,783	1221,89	
235,001	1193,21	
235,22	1058,05	
235,439	1069,52	
235,658	1009,72	
235,877	1020,37	
236,096	947,87	
236,315	986,37	
236,534	924,11	
236,752	920,43	
236,971	981,45	
237,19	969,58	
237,409	874,96	
237,628	942,13	
237,846	944,18	
238,065	921,24	
238,284	945	
238,503	945,82	
238,721	1017,09	
238,94	954,83	
239,159	988,42	
239,377	976,95	
239,596	965,89	
239,815	945	
240,033	955,65	
240,252	940,91	
240,47	955,24	
240,689	976,54	
